EnglishEasy;Global warming kg CO2;Terrestrial acidification kg SO2;Freshwater eutrophication kg P ;Marine eutrophication kg N ;Land use m2a crop;Water consumption m3;NEVO code;Food group;Food name;Energy (kJ);Energy (kcal);Protein (g);Fat (g);Fatty acids (g);Carbohydrates (g);Sugars (g);Fiber (g);Alcohol (g); Chloride (mg);Sodium (mg);Potassium (mg);Calcium (mg);Phosphorus (mg);Magnesium (mg);Iron (mg);Copper (mg);Selenium (�g);Zinc(mg);Iodine (�g);Vitamin D (�g);Vitamin E (mg);Vitamin K (�g);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin B6 (mg);Vitamin B12 (�g);Vitamin B3 (mg);Vitamin B3 (mg);Vitamin C (mg)
94;0,640842721;0,000991929;3,47E-05;0,000532824;1,035015499;0,011053969;3207;Savoury bread spreads;Hummus natural;1324;320;7,7;25,8;24,5;11,3;0,8;5,4;0;0;476;130;29;116;62;2;0,31;6;1,17;0,8;0;3,5;3;0,07;0,04;0,107;0;1,2;0,8;2
95;0,867810592;0,001129182;3,24E-05;0,000636084;0,700687721;0,017440893;455;Savoury bread spreads;Peanut butter;2704;654;22,5;56,4;53,7;10;5,2;8;0;0;248;575;45;318;145;1,8;0,66;9;2,6;0;0;12,4;16;0,13;0,1;0,02;0;9,6;6,2;0
96;0,172086504;0,00066118;1,39E-05;0,000263729;0,281131698;0,003640308;2449;Savoury sauces;Gravy 25% fat clear prep with gravy instant powder ;947;230;1;22,9;22;4,8;0,6;0,2;0;1;699;10;6;5;1;0;0,01;0;0;0,6;1,7;5,5;0;0;0;0;0;;0;0
97;0,292182655;0,001773845;2,51E-05;0,000310091;0,300788928;0,004083925;465;Savoury sauces;Sauce for chips 25% oil;1226;296;0,5;27,3;26;12;6,8;0,2;0;19;559;45;8;17;2;0,2;0,01;2;0,11;2,5;0,1;5;;0,01;0,01;0,002;0,07;0,1;0;0
98;0,551753865;0,003058958;5,36E-05;0,000783162;0,801138086;0,004858346;451;Savoury sauces;Mayonnaise;2732;664;1,1;71,6;68,1;3,6;3,4;0,2;0;47;301;27;13;48;2;0,5;0,01;4;0,29;2,5;0,2;17,5;;0,02;0,03;0,006;0;0,2;0;0
99;0,207512465;0,001342656;3,60E-05;0,000294182;0,076605982;0,008591303;1803;Savoury sauces;Sauce oriental ready-made in jar/bag;272;64;1,5;0,4;0,4;13,3;11,3;0,7;0;0;544;115;7;12;5;2;0,1;;0,9;;0;;;0,04;0,01;0,1;0;;0,2;18
100;0,116851488;0,000604276;1,08E-05;6,37E-05;0,040260814;0,004943132;1524;Savoury sauces;Sauce tomato ready made jar;283;68;1,6;3,3;3,1;6,9;5,5;1,8;0;0;331;313;10;20;8;0,5;0,04;0;0,17;3,7;0;1,2;4,1;0,04;0,01;0,074;0;0,6;0,6;11
101;0,483288518;0,001778666;5,66E-05;0,000521556;0,233989908;0,00803204;122;Savoury snacks;Crisps potato ;2242;538;6,3;32,8;31,5;52,3;1,7;4;0;0;529;1269;27;150;60;2,3;0,22;1;1,3;4;0;4,3;;0,21;0,08;0,72;0;;3,2;11
102;0,811439926;0,011201061;3,17E-05;0,001961291;0,446609042;0,006684786;326;Savoury snacks;Croquette meat ragout deep-fried in liquid fat;1136;272;8,9;16,6;15,6;20,9;2,6;1,9;0;14;545;115;15;84;17;1,2;0,09;4;1,2;0;0;3,5;10,9;0,09;0,06;0,034;0,34;2,5;1;0
103;0,095043171;0,000604361;1,39E-05;0,000227518;0,154259365;0,008698803;630;Savoury snacks;Popcorn plain popped without oil;1633;386;13;4;3,4;72;1,1;5;0;0;3;240;11;281;86;1,1;0,42;1;0,1;2;0;0;;0,39;0,12;0;0;;2,2;0
104;0,539601631;0,005993759;3,97E-05;0,001212267;0,533201001;0,006158118;266;Savoury snacks;Snack sausage roll puff pastry;1484;356;7,2;23,4;22,2;28,5;0,5;1,4;0;45;625;126;11;126;16;1,1;0,06;7;2,17;2,3;0,4;0,2;;0,29;0,18;0,245;0,8;4,8;2,7;5
105;0,518388398;0,004000534;3,81E-05;0,00048313;0,361631532;0,005532206;322;Savoury snacks;Sausage Dutch Frikandel deep-fried in liquid fat;1044;251;13,8;18,4;17,1;6,7;0,9;1,8;0;74;1012;214;108;210;28;2,1;0,09;8;1,5;0;0,4;1,5;30,4;0,13;0,12;0,086;0,54;6,4;3,8;1
106;1,04199675;0,014736691;3,00E-05;0,002065309;0,42348152;0,008311093;1723;Cheese;Cheese 20+;1031;246;34,5;12;11,3;0;0;0;0;40;683;100;1059;710;42;0,1;0,05;15;4,7;23;0,1;0,4;34,7;0,03;0,4;0,045;2,8;;0,1;1
107;1,101266612;0,015596059;3,18E-05;0,002186006;0,448222882;0,008786011;511;Cheese;Cheese Edam 40+;1345;324;25,5;24,3;22,8;0;0;0;0;78;1032;67;896;600;31;0,1;0,04;8;3,8;18;0,3;1;68,4;0,03;0,22;0,063;1,9;;0,1;1
108;0,850409751;0,010651509;6,30E-05;0,001699923;0,618131622;0,012270279;1650;Cheese;Cheese goat fresh;859;207;13,4;16,6;15,6;1;1;0;0;50;399;141;101;229;11;0,6;;;0,5;5;0,1;;1,8;0,01;0,3;;0,29;;;0
109;1,309298208;0,018612358;3,79E-05;0,00260964;0,535062719;0,01045293;513;Cheese;Cheese Gouda 48+ ;1534;370;22,9;30,6;28,7;0;0;0;0;82;670;80;819;542;33;0,2;0,04;12;3,47;21;0,3;0,9;68,4;0,01;0,28;0,036;2,03;5,1;0,1;0
110;0,845655222;0,011951544;2,44E-05;0,001674854;0,343444787;0,006765422;1955;Cheese;Cheese Mozzarella made from cow's milk;1051;253;18,7;19,5;18,3;0,7;0,7;0;0;46;480;145;160;350;10;0,4;;3;2,6;18;0,2;0,4;10,3;0,03;0,27;0,1;1,7;;0,4;0
111;1,309298208;0,018612358;3,79E-05;0,00260964;0,535062719;0,01045293;883;Cheese;Cheese Old Amsterdam 48+;1676;404;26;33;31;0;0;0;0;90;880;91;871;621;38;0,2;0,03;14;3,7;21;0,3;1;76,8;0,01;0,29;0,029;2,42;5,6;0,1;0
112;0,879616586;0,01205637;2,48E-05;0,001684779;0,345667816;0,007264378;515;Cheese;Cheese spread 48+ full fat;1078;260;13,4;21,7;20,4;2,1;2,1;0,5;0;60;931;109;467;781;21;0,1;0,03;8;2;9;0;0,6;12,7;0,02;0,24;0,014;0,64;;0,1;1
113;0,220883263;0,000725137;1,89E-05;0,000169679;0,081585753;0,004806091;429;Herbs and spices;Stock cube;1139;273;8,1;17,2;16,5;21,2;7,1;0,5;0;0;19687;490;40;240;32;1,2;0,7;;0,8;;0;;0;;;;;;;0
114;0,149947116;0,001876244;4,18E-06;0,000258174;0,061415954;0,00118093;289;Milk and milk products;Buttermilk;128;30;3;0,2;0,2;3,6;3,6;0;0;3;36;136;109;90;10;0;0,01;1;0,41;14,9;0;0;2,5;0,02;0,15;0,028;0,17;0,8;0,1;0
115;0,445669985;0,006346612;1,32E-05;0,000888711;0,190735837;0,003572883;299;Milk and milk products;Cream whipping unprepared;1398;339;2,3;35,3;33,2;3,1;3,1;0;0;94;36;97;78;58;8;0;0,01;1;0,18;9,9;0,1;1;10,5;0,02;0,12;0,024;0,2;;0,6;1
116;0,203330417;0,002061672;5,94E-06;0,000290698;0,070733079;0,001955467;1720;Milk and milk products;Custard several flavours full fat;367;87;2,1;2,6;2,5;13,6;8;0,5;0;8;45;121;74;54;8;0;0,01;1;0,23;10,6;0;0,1;1,3;0,02;0,13;0,025;0,19;;0;0
117;0,203330417;0,002061672;5,94E-06;0,000290698;0,070733079;0,001955467;282;Milk and milk products;Custard vanilla full fat;362;86;2,3;2,8;2,6;12,8;8,1;0,4;0;8;52;121;89;69;9;0;0,01;1;0,3;10,4;0;0,1;1,4;0,02;0,17;0,028;0,26;0,6;0,1;0
118;0,472042497;0,005887799;1,21E-05;0,00081662;0,167711471;0,003846839;307;Milk and milk products;Quark full fat;491;118;7,5;8;7,5;3,6;2,8;0;0;37;35;159;134;122;11;0;0,01;4;0,53;20,9;0,1;0,2;5,9;0,02;0,14;0,025;0,7;1,8;0;0
119;0,461037979;0,00476641;1,66E-05;0,000681176;0,144865781;0,003716158;303;Milk and milk products;Ice cream dairy ;904;216;2,9;11,3;10,6;25,3;20,1;0,5;0;33;49;165;94;79;11;0,1;0,01;2;0,26;20,6;0;0,5;0,7;0,02;0,23;0,036;0,41;0,7;0,1;0
120;0,251964774;0,002442116;1,34E-05;0,000352964;0,103491316;0,002058958;272;Milk and milk products;Milk chocolate-flavoured full fat;344;82;3,3;2,8;2,6;10,7;10,5;0,5;0;9;45;189;100;87;19;0,6;0,03;1;0,46;13,4;0;0,1;0,3;0,02;0,15;0,03;0,33;0,8;0,2;2
121;0,241317154;0,002282187;1,30E-05;0,000330433;0,098870599;0,001973247;1464;Milk and milk products;Milk chocolate-flavoured semi-skimmed;322;76;3,3;1,6;1,5;11,9;11,1;0,5;0;5;48;202;105;94;18;0,6;0,06;1;0,49;13,4;0,1;0,1;0,2;0,03;0,15;0,013;0,13;0,8;0,2;0
122;0,20270143;0,002482137;5,34E-06;0,000339204;0,07802249;0,001529834;286;Milk and milk products;Milk semi-skimmed;190;45;3,4;1,4;1,4;4,7;4,7;0;0;6;42;160;123;104;12;0;0,01;1;0,41;14,9;0;0;0,7;0,04;0,18;0,033;0,45;0,9;0,1;1
123;0,196786086;0,002393287;5,16E-06;0,000326687;0,075455425;0,001482216;294;Milk and milk products;Milk skimmed;149;35;3,7;0,1;0,1;4,9;4,9;0;0;3;44;169;126;106;12;0;0,01;1;0,46;14,9;0;0;0;0,04;0,18;0,037;0,44;1;0,2;0
124;0,208616774;0,002570986;5,52E-06;0,000351721;0,080589555;0,001577451;279;Milk and milk products;Milk whole;257;61;3,3;3,4;3,2;4,5;4,5;0;0;11;42;163;124;104;12;0;0,01;2;0,46;14,9;0;0,1;1,4;0,03;0,18;0,033;0,4;0,9;0,1;0
125;0,23546054;0,002573137;5,58E-06;0,000351869;0,080592894;0,002021516;278;Milk and milk products;Yoghurt full fat;234;56;3,8;2,7;2,6;3,4;2,7;0;0;9;39;159;145;111;12;0;0,01;2;0,5;15;0;0,1;1,4;0,02;0,17;0,028;0,22;1;0,1;0
126;0,229545196;0,002484287;5,40E-06;0,000339351;0,078025829;0,001973898;1502;Milk and milk products;Yoghurt half fat;212;50;4,2;1,5;1,4;4,3;4,3;0;0;4;51;142;139;88;12;0,1;0,01;1;0,45;14,9;0;0;0,7;0,03;0,2;0,03;0,39;1;0,1;2
127;0,216156419;0,002087694;7,98E-06;0,00030498;0,074238326;0,003685391;284;Milk and milk products;Yoghurt low fat with fruit;284;67;3;0,2;0,2;12,4;10,7;0,6;0;3;35;146;113;82;11;0;0,01;2;0,39;14,1;0;0,1;0,3;0,01;0,15;0,026;0,23;0;0;0
128;0,223629851;0,002395438;5,22E-06;0,000326834;0,075458764;0,001926281;301;Milk and milk products;Yoghurt low fat;156;37;4,1;0,2;0,2;4;4;0;0;3;43;159;152;118;13;0;0,01;1;0,61;14,9;0;0;0,1;0,02;0,17;0,041;0,28;1;0,1;1
129;0,149576814;0,001694776;7,89E-06;0,000268463;0,082774879;0,001716996;2476;Non-alcoholic beverages;Coffee cappuccino freshly made;131;31;1,8;1,7;1,6;2,3;2,3;0;0;6;22;121;64;52;9;0,1;0,01;1;0,23;7,7;0;0;0,7;0,02;0,1;0,016;0,2;0,7;0,3;0
130;0,02954337;0,00023093;5,09E-06;7,11E-05;0,039250983;0,000940461;644;Non-alcoholic beverages;Coffee prepared;5;1;0,2;0;0;0,1;0,1;0;0;0;1;78;4;0;6;0,2;0,01;0;0,01;0,4;0;0;;0,01;0,01;0;0;;0,4;0
131;0,059612304;9,41E-05;1,21E-06;3,98E-06;0,001547898;0,000715251;1523;Non-alcoholic beverages;Cola light soft drink with caffeine;0;0;0;0;0;0;0;0;0;0;8;0;5;16;0;0;0,01;0;0;;0;0;;0;0;0;0;;0;0
132;0,071121515;0,000277638;4,66E-06;5,47E-05;0,023081464;0,004833394;2086;Non-alcoholic beverages;Ice tea with sugar 5-<7 g CHO;105;25;0;0;0;6,2;6,1;0;0;0;41;1;2;0;0;0;0;0;0;;0;0;;0;0;0;0;;0;0
133;0,060329897;0,000189004;3,68E-06;2,65E-05;0,018892603;0,002129943;2134;Non-alcoholic beverages;Juice drink Dubbelfrisss;94;22;0;0;0;5,5;5,5;0;0;0;1;18;5;1;1;0;0;0;0;;0;0;0;0;0;0,008;0;;0;2
134;0,065323107;0,000265288;7,03E-06;5,38E-05;0,032807847;0,003893016;383;Non-alcoholic beverages;Juice apple;194;46;0,1;0;0;11,2;10,5;0;0;0;4;99;8;8;6;0,1;0,01;0;0,03;;0;0;0;0;0;0,021;0;0,1;0,1;0
135;0,149501057;0,000535363;2,49E-05;0,000131634;0,055520606;0,047470921;2755;Non-alcoholic beverages;Juice orange freshly squeezed;187;44;0,6;0,1;0,1;9,1;8,9;0,3;0;0;0;167;11;22;12;0,1;0,02;0;0,07;1,1;0;0,1;;0,06;0,01;0,041;0;0,3;0,3;48
136;0,141681201;0,00058048;1,41E-05;0,000112489;0,052637129;0,044949176;410;Non-alcoholic beverages;Juice orange pasteurized;193;45;0,6;0,1;0,1;9,5;9,1;0,3;0;0;1;172;12;19;12;0,1;0,03;0;0,08;1,1;0;0,2;0,1;0,07;0,02;0,055;0;0,3;0,2;31
137;0,011646214;2,38E-05;4,16E-07;2,07E-06;0,000801367;0,000273018;2441;Non-alcoholic beverages;Fruit drink conc diluted 1 to 7;119;28;0;0;0;7;6,9;0;0;0;2;10;4;0;1;0;0,02;0;0,01;0,4;0;0;0;0;0;0;0;;0;0
138;0,035925432;6,14E-05;8,65E-07;9,62E-08;0,00053409;0,000544565;747;Non-alcoholic beverages;Mineral water sparkling and not sparkling ;0;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;;0;0;;0;0;0;0;0;0;0;;0;0
139;0,067684916;0,000174469;3,93E-06;3,37E-05;0,009578479;0,000867906;395;Non-alcoholic beverages;Soft drink with sugar with caffeine;176;41;0;0;0;10,4;10,4;0;0;0;1;0;5;16;0;0;0,01;0;0;;0;0;;0;0;0;0;;0;0
140;0,059612304;9,41E-05;1,21E-06;3,98E-06;0,001547898;0,000715251;1522;Non-alcoholic beverages;Soft drink light without caffeine;0;0;0;0;0;0;0;0;0;0;9;0;0;7;0;0,2;0;0;0;;0;0;;0;0;0;0;;0;0
141;0,062437718;0,000122236;2,16E-06;1,44E-05;0,004358601;0,00076868;2641;Non-alcoholic beverages;Soft drink with sugar and sweetener 2-<5 CHO with caffeine;45;11;0;0;0;2,6;2,6;0;0;0;1;0;5;19;0;0;0,01;0;0;;0;0;;0;0;0;0;;0;0
142;0,016012108;0,000154099;2,31E-06;4,12E-05;0,018931189;0,00420231;645;Non-alcoholic beverages;Tea prepared;0;0;0;0;0;0;0;0;0;0;2;8;5;2;1;0;0,01;0;0,01;0,4;0;0;;0;0;0,018;0;;0;0
143;6,33E-05;1,26E-07;1,00E-11;4,45E-09;0;0,000100228;1885;Non-alcoholic beverages;Water ;0;0;0;0;0;0;0;0;0;0;2;0;5;0;1;0;0,02;0;0;0,4;0;0;0;0;0;0;0;;0;0
144;0,487060705;0,006111577;6,65E-05;0,001972092;0,745025005;0,438107477;198;Nuts and seeds;Almonds blanched unsalted;2609;631;21,7;55,8;53;7,1;3,8;7;0;0;5;822;283;625;305;3,3;0,65;2;3,1;2,5;0;21,8;;0,15;0,7;0,06;0;7,9;4,3;0
145;0,425531718;0,006877752;0,00033162;0,002010039;1,39427655;0,200277204;199;Nuts and seeds;Cashew nuts unsalted;2552;615;21,2;48,9;46,9;20,8;5;3,8;0;0;10;682;44;607;269;6,7;1,7;37;5,8;2,5;0;1,9;;0,29;0,13;0,195;0;9,4;4,3;0
146;0,388947451;0,003353374;7,88E-05;0,001327471;1,127035629;0,161487192;200;Nuts and seeds;Hazelnuts unsalted;2763;670;16,4;63;59,9;4,8;4,3;9;0;0;1;720;160;320;160;3,6;1,5;2;2,25;5,6;0;15,2;;0,38;0,11;0,34;0;;1,1;4
147;0,166908506;0,001564868;5,17E-05;0,00055358;1,176913266;0,012885602;867;Nuts and seeds;Linseeds;1969;477;19;31;29,8;13;0;34,8;0;0;28;725;255;660;181;5,7;;13;7,8;0,5;0;0,7;;1,64;0,16;0;0;;3,1;0
148;0,735472843;0,000694596;2,16E-05;0,000556289;0,596581278;0,017105308;204;Nuts and seeds;Peanuts unsalted;2596;627;25,2;51,7;49,1;11,8;4,8;6,8;0;0;0;757;56;456;216;1,9;0,61;16;3,3;2,5;0;6,4;;0,16;0,08;0,158;0;21,6;17,5;0
149;0,397360977;0,003008536;0,000150237;0,00065022;0,497539759;0,443763186;1896;Nuts and seeds;Pistachio nuts salted;2452;592;23,8;48,3;46,1;10,8;5,7;9,5;0;0;660;871;131;598;136;4,3;1;20;2,9;2,5;0;4,8;;0,64;0,15;1,168;0;7,5;2;0
150;0,330569594;0,003431022;2,57E-05;0,00081267;0,388429957;0,409068197;206;Nuts and seeds;Walnuts unsalted;2914;706;15,9;68,1;64,7;5,1;2,9;4,6;0;0;0;532;117;521;196;3,4;1,1;12;3,4;2,5;0;3,1;;0,37;0,11;0,417;0;4,6;1,4;0
152;0,197014646;0,00120961;3,30E-05;0,000216063;0,21446767;0,007407788;660;Legumes;Beans brown canned;506;120;6,5;0,7;0,5;18;0,9;7,9;0;0;119;285;50;100;34;1,6;0,25;1;0,54;0,6;0;0,1;6;0,06;0,04;0,022;0;1,8;0,4;0
153;0,372762165;0,000458342;2,58E-05;0,000281357;0,489981474;0,004070252;1095;Legumes;Peas chick boiled;580;138;7,6;3;2,3;15,9;0,3;8,8;0;0;3;215;59;124;42;1,8;0,23;5;1,29;0,2;0;1,7;2,9;0,09;0,03;0,023;0;1,4;0,2;0
154;0,323939941;0,003042815;0,000134098;0,000649184;0,543412242;0,00315871;1962;Sugar, sweets and sweet sauces;Chocolate sprinkles milk;1913;455;6,3;15,6;15;70,3;64,7;3,7;0;11;51;359;116;162;66;4,5;0,56;5;1,1;17;0;0,8;;0,07;0,24;0,031;0,52;1,6;0,5;0
155;0,216103243;0,001330399;0,000171037;0,000443217;0,647645519;0,002161997;1963;Sugar, sweets and sweet sauces;Chocolate sprinkles dark;1873;446;5,8;15,3;14,7;67,4;60,5;6,6;0;1;27;845;36;184;119;8,1;0,98;4;1,27;2,5;0;0,8;;0,02;0,05;0,018;0,21;1,6;0,7;0
156;0,605768083;0,006195757;0,000160263;0,001061889;0,708565073;0,005638021;431;Sugar, sweets and sweet sauces;Chocolate milk;2286;548;7;34,1;32,7;52;49;2,8;0;18;70;404;162;205;50;3,2;0,23;5;1,1;20;0;1,2;2,3;0,09;0,35;0,041;0,58;1,8;0,5;1
157;0,438167207;0,002350081;5,60E-05;0,000564085;0,370606888;0,012707761;2657;Sugar, sweets and sweet sauces;Spread duo with chocolate;2402;576;1,8;36,5;35;59,5;57,4;1,3;0;0;39;302;97;120;42;1,7;0,42;3;1,3;2,5;0;0,2;;0,03;0,23;0,03;0,58;;0,1;0
158;0,447370883;0,002709994;6,64E-05;0,000656733;0,464235656;0,024384688;436;Sugar, sweets and sweet sauces;Spread chocolate hazelnut;2344;562;5,7;35,3;33,9;53,9;50,2;2,9;0;3;53;465;116;193;74;4,5;0,42;3;1,3;2,5;0;9,8;;0,04;0,15;0,045;0;1,5;0,4;1
159;0,119343348;0,000674562;7,74E-06;5,39E-05;0,020039384;0,000951823;443;Sugar, sweets and sweet sauces;Honey;1364;321;0,3;0;0;80;80;0;0;0;10;55;7;4;2;0,8;0,02;0;0,62;0,5;0;0;;0;0,03;0,032;0;;0,1;4
161;0,110201669;0,000333555;8,33E-06;8,63E-05;0,032993511;0,003074519;1474;Sugar, sweets and sweet sauces;Ice lolly;318;75;0,2;0,2;0,2;18;17;0,2;0;0;2;22;5;2;2;0;0,01;0;0,02;0,3;0;0;0;0,01;0;0,012;0;;0;2
162;0,189408727;0,001141563;2,68E-05;0,000243708;0,119513784;0,012686431;445;Sugar, sweets and sweet sauces;Jam;1055;248;0,3;0,1;0,1;60,8;51,2;1,2;0;0;10;69;8;9;4;0,4;0,03;0;0,04;0,3;0;0,5;;0,01;0,01;0,013;0;;0,2;3
163;0,083537358;0,00082272;2,76E-05;0,000290939;0,074835975;0,001390016;377;Sugar, sweets and sweet sauces;Sugar granulated;1700;400;0;0;0;100;100;0;0;0;0;4;0;0;2;0,1;0,02;0;0,01;0;0;0;;0;0;0;0;;0;0
164;0,147429614;0,000425041;1,18E-05;7,67E-05;0,03039245;0,010943987;427;Sugar, sweets and sweet sauces;Syrup apple;1188;280;1,8;0;0;65,9;58;4,6;0;0;48;599;24;86;82;13,2;0,14;0;0,81;0;0;0;0,6;0,03;0,1;0,088;0;;0,5;1
165;1,223765039;0,017570841;3,56E-05;0,002461203;0,50498608;0,009813061;879;Fats and oils;Butter salted;3033;737;0,7;81,2;76,3;1,1;1,1;0;0;221;400;27;17;23;2;0,1;0,01;1;0,09;1,5;0,3;2,8;29,9;0,01;0,03;0;0,3;;0;0
166;1,223685342;0,017570419;3,56E-05;0,002461202;0,50498608;0,009811833;310;Fats and oils;Butter unsalted;3033;737;0,7;81,2;76,3;1,1;1,1;0;0;221;5;27;17;23;2;0,1;0,01;1;0,09;1,5;0,3;2,8;29,9;0,01;0,03;0;0,3;;0;0
167;0,501045999;0,002284626;5,10E-05;0,001066164;1,217440852;0,010591052;2525;Fats and oils;Frying fat horeca;3700;900;0;100;96;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;0;;;0;0;0;0;;0;0
168;0,251617176;0,000893533;2,07E-05;0,000411149;0,479070898;0,005409565;2059;Fats and oils;Low fat margarine 40% fat <17 g sat fa salted;1463;356;0,1;39,2;37,7;0,5;0,1;0,1;0;1;191;42;10;23;2;0,1;0;0;0;1,5;7,3;9,8;;0;0;0;0;;0;0
169;0,71718792;0,005656688;0,000210289;0,002038821;2,915111468;0,380119454;601;Fats and oils;Oil olive;3700;900;0;100;96;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;;0;5,1;53,7;0;0;0;0;;0;0
170;0,50106495;0,002417874;5,01E-05;0,001242282;1,50859998;0,018434876;317;Fats and oils;Oil sunflower seed;3687;897;0,3;99,5;95,5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;0;48,7;5,7;0;0;0;0;;0;0
171;0,694688432;0,001870992;3,04E-06;2,22E-05;0,009495957;0,003694649;1315;Fish, crustacean and shellfish;Cod fillet fried/simmered;498;118;21,5;3,3;2,7;0,6;0;0;0;35;108;285;13;200;27;0,2;0,03;37;0,5;243;;1,2;;;;;2;;;
172;0,623508151;0,001802207;1,04E-05;0,000214051;0,124746296;0,003894949;814;Fish, crustacean and shellfish;Fish fingers fried in sunflower oil;999;239;16,4;13;12,5;13,9;1;0,4;0;38;380;248;16;120;32;0,9;0,06;13;0,58;120;1,4;3,5;;0,11;0,07;0,15;2;;4,9;0
173;0,198541967;0,000603538;1,31E-05;0,00010612;0,015949138;0,00262871;349;Fish, crustacean and shellfish;Herring fillet in tomato sauce tinned;838;201;12;14,6;13,4;5,4;4,5;0,5;0;90;454;295;64;128;23;1,4;0,12;24;0,53;18;6,2;3,6;;0,05;0,08;0,15;10,4;;2,6;4
174;0,358297579;0,001135599;2,10E-05;0,000135731;0,006537032;0,002357081;1100;Fish, crustacean and shellfish;Herring pickled (sweet)sour;862;208;16;16;14,7;0;0;0;0;90;818;58;38;149;5;1,4;0,12;46;0,3;32;6,2;0,6;;0,05;0,21;0,15;6,1;;7,3;0
175;0,280600876;0,000658574;1,36E-05;0,000135281;0,001368006;0,001801776;350;Fish, crustacean and shellfish;Herring salted;719;172;17,6;10,1;9,3;2,8;0;0;0;55;1097;293;51;297;40;1,4;0,09;46;0,73;28,9;6,2;0,4;;0;0,18;0,343;9,26;10,9;7,3;0
176;0,726218533;0,001993274;3,06E-06;2,17E-05;0,009497326;0,003812836;3321;Fish, crustacean and shellfish;Lemon sole raw;310;73;16,7;0,7;0,6;0;0;0;0;47;115;177;17;124;26;0,1;0;50;0,3;23;;0,7;;0,15;0,08;0,15;1;;4,3;0
177;0,216703768;0,000458042;1,20E-05;0,000117373;0,001366736;0,001515964;1586;Fish, crustacean and shellfish;Mackerel fillet smoked;1250;301;21,1;24,1;22,4;0;0;0;0;63;746;319;33;237;38;1,2;0,07;59;0,9;50;8,2;0,5;;0,15;0,37;0,28;10,2;;6,9;0
178;1,336458783;0,002545585;9,52E-05;0,000552767;0,697953995;0,010721626;2765;Fish, crustacean and shellfish;Pangasius bereid in magnetron z toev;375;89;18,6;1,6;1,3;0;0;0;0;58;241;261;10;192;22;0,1;0,01;12;0,41;6;0,1;0,3;;0;0,05;0,101;0,42;5,5;2;1
179;0,726218533;0,001993274;3,06E-06;2,17E-05;0,009497326;0,003812836;817;Fish, crustacean and shellfish;Plaice fried;810;194;22;10,9;10,4;2;0;0;0;85;110;372;101;125;30;0,9;0,03;48;1;31;1,1;2,6;;0,22;0,11;0,078;2;;4,9;2
180;0,883647947;0,002475301;3,15E-06;2,46E-05;0,0095017;0,004401948;919;Fish, crustacean and shellfish;Pollock (Atlantic) boiled;481;114;25;1,5;1,2;0;0;0;0;66;95;420;10;237;44;0,4;0,06;46;0,6;154;1,4;0,8;;0,29;0,24;0,37;4,8;;3,2;0
182;0,374312164;0,001118849;1,43E-05;0,000133025;0,002114383;0,001614978;602;Fish, crustacean and shellfish;Salmon tinned;613;146;20,4;7,2;6,6;0;0;0;0;90;397;316;91;170;25;0,9;0,05;25;0,8;59;10,9;2,1;;0,02;0,22;0,21;4;;5,9;0
183;0,688129211;0,001608005;4,69E-05;0,000403715;0,222317814;0,00455311;1587;Fish, crustacean and shellfish;Salmon farmed raw;748;179;20;11;10,1;0;0;0;0;80;46;451;7;227;26;0,3;0,04;30;0,48;23,8;7,9;1,4;;0,12;0,11;0,51;3,5;;7,3;0
185;0,661523588;0,001573909;4,64E-05;0,000397121;0,214201069;0,004118756;1096;Fish, crustacean and shellfish;Salmon smoked;785;188;21,8;10,8;10;0,8;0;0;0;52;1319;489;9;318;32;0,2;0,02;16;0,42;13;4;2,5;;0,27;0,17;0,563;5,02;15,1;10,6;0
187;1,541070076;0,004058172;0,000669673;0,000793032;0,215206209;0,007681978;348;Fish, crustacean and shellfish;Shrimps Dutch boiled;397;94;19,8;1,6;1,3;0,1;0,1;0;0;202;953;142;134;139;35;0,2;0,71;31;1,8;55;0,1;5,1;;0,03;0,34;0,042;16,78;5,4;1,3;0
188;2,285592949;0,009739522;9,38E-05;0,000567896;0,672898035;0,010383085;2299;Fish, crustacean and shellfish;Tilapia raw;364;86;17,9;1,6;1,4;0;0;0;0;47;52;353;18;181;28;0,2;0,02;28;0,34;4;24,3;0,7;1,7;0,05;0,05;0,18;1,1;;4;0
189;1,26987486;0,003116175;3,10E-05;0,00036193;0,375696062;0,00474782;1611;Fish, crustacean and shellfish;Trout prepared in microwave oven no ingredients added;587;140;24,5;4,6;4,1;0;0;0;0;68;74;497;35;325;32;0,4;0,04;16;0,57;8;9,4;1,7;;0,13;0,1;0,305;5,72;11,8;6,9;1
190;1,454962009;0,00483714;1,57E-05;0,000143673;0,002152245;0,005661748;1589;Fish, crustacean and shellfish;Tuna in oil tinned;862;206;27;10,8;9,6;0,1;0,1;0,1;0;56;393;291;12;200;33;1,6;0,2;90;1,1;14;2,1;3,5;;0,02;0,12;0,51;5;;16,1;0
