EnglishEasy;Global warming kg CO2;Terrestrial acidification kg SO2;Freshwater eutrophication kg P ;Marine eutrophication kg N ;Land use m2a crop;Water consumption m3;NEVO code;Food group;Food name;Energy (kJ);Energy (kcal);Protein (g);Fat (g);Fatty acids (g);Carbohydrates (g);Sugars (g);Fiber (g);Alcohol (g); Chloride (mg);Sodium (mg);Potassium (mg);Calcium (mg);Phosphorus (mg);Magnesium (mg);Iron (mg);Copper (mg);Selenium (�g);Zinc(mg);Iodine (�g);Vitamin D (�g);Vitamin E (mg);Vitamin K (�g);Vitamin B1 (mg);Vitamin B2 (mg);Vitamin B6 (mg);Vitamin B12 (�g);Vitamin B3 (mg);Vitamin B3 (mg);Vitamin C (mg)
24;0,075661768;0,00060993;2,82E-06;0,000111827;0,040006226;0,008447327;151;Fruits;Banana;391;92;1,1;0,3;0,2;20;15,5;1,9;0;0;0;374;6;28;28;0,3;0,09;4;0,25;2,5;0;0,2;0,3;0,04;0,03;0,291;0;1;0,8;8
25;0,131085942;0,000530649;5,59E-06;3,09E-05;0,402175731;0,00068151;2290;Meat substitutes and dairy substitutes;Coconut milk;714;173;1,4;17,4;16,4;2,5;1,5;0,5;0;0;15;163;3;41;26;0,7;0,18;0;0,32;2;0;0,2;;0;0;0;0;0,4;0,2;0
27;0,229051027;0,001404562;3,67E-05;0,000341734;0,172898901;0,319881789;181;Fruits;Dates dried;1293;305;2;0;0;70,5;70,5;7,5;0;0;10;600;70;60;50;1,5;0,26;3;0,3;;0;0,7;3,7;0,05;0,1;0,1;0;;2,2;0
28;0,344203499;0,001537567;4,84E-05;0,000384659;0,585116656;0,204395403;193;Fruits;Figs dried;1095;259;3,3;0,9;0,7;54,1;47,9;9,8;0;0;10;680;162;67;68;2;0,29;1;0,55;;0;0,4;15,6;0,09;0,08;0,106;0;;0,6;1
29;0,108597617;0,00050688;1,29E-05;0,000100664;0,152496576;0,052556197;1010;Fruits;Figs fresh;356;84;1;0;0;19;19;2;0;0;1;253;54;32;15;0,6;0,06;0;0,3;;0;0,1;4,7;0,06;0,05;0,11;0;;0,5;3
30;0,143887007;0,000474082;9,64E-06;7,17E-05;0,054130459;0,010829019;2875;Fruits;Fruit snack Knijpfruit/Slurpfruit;268;63;0,4;0,2;0,1;14,2;12,8;1,6;0;0;17;116;4;9;4;0,1;0,03;0;0,06;2,5;0;0,1;;0,01;0,01;0,035;0;;0,2;3
31;0,110039863;0,000477179;8,76E-06;6,23E-05;0,06581681;0,011889941;160;Fruits;Grapes with skin ;331;78;0,6;0,2;0,2;16,8;16,3;1,8;0;0;3;233;17;25;9;0,2;0,11;0;0,2;2,5;0;0,3;8,6;0,04;0,02;0,052;0;0,3;0,2;2
32;0,072141666;0,000558125;1,28E-05;9,31E-05;0,04446703;0,031857388;1056;Fruits;Kiwi fruit green;263;62;0,9;0,8;0,6;10,8;10,3;2,3;0;0;3;312;30;34;14;0,5;0,12;1;0,21;;0;1,4;11;0,01;0,02;0,072;0;0,6;0,3;79
33;0,115150982;0,000621813;7,38E-06;7,15E-05;0,075645363;0,020713579;158;Fruits;Lemon;153;36;0,8;0,3;0,2;3;2;2;0;0;1;193;10;25;9;0,1;0,05;0;0,1;;0;0,8;0;0,06;0,02;0,04;0;;0,2;40
34;0,086487909;0,000522893;1,44E-05;0,000139371;0,058322241;0,033129944;165;Fruits;Manderins;194;46;0,7;0,1;0,1;9,9;8,2;0,9;0;0;1;145;25;19;10;0,1;0,03;0;0,08;;0;0,3;0,1;0,07;0,03;0,076;0;0,3;0,3;40
35;0,150610973;0,000522402;1,63E-05;9,23E-05;0,069313562;0,036987803;692;Fruits;Mango;278;66;0,6;0,2;0,1;14,3;13,9;1,6;0;0;1;143;14;12;11;0,2;0,12;2;0,07;;0;1,1;0,5;0,03;0,04;0,04;0;;0,5;23
36;0,116850203;0,00046764;7,44E-06;7,94E-05;0,070019396;0,004428443;1106;Fruits;Melon honeydew;127;30;0,9;0;0;6,3;6,3;0,6;0;0;20;350;13;21;11;0,6;0,03;0;0,17;;0;0,2;0,1;0,05;0,02;0,1;0;;0,6;32
38;0,250240549;0,00171597;4,20E-05;0,000371707;0,537705984;0,069910019;3336;Fruits;Olives in brine tinned/glass;500;122;0,9;11,6;11,1;0,8;0,4;5,6;0;0;1559;76;61;16;31;2,1;0,22;1;0,2;0,8;0;2;1,1;0,02;0,01;0,018;0;;0,2;0
39;0,078252909;0,000487791;1,15E-05;0,000101978;0,047074807;0,040093168;171;Fruits;Orange;200;48;0,8;1;0,8;7,9;7,7;2;0;0;1;177;23;24;10;0,1;0,04;0;0,17;2,5;0;0,4;0,1;0,06;0,03;0,06;0;0,6;0,4;51
40;0,069181984;0,000354662;9,05E-06;7,03E-05;0,064095308;0,033494185;169;Fruits;Peach without skin;172;41;1;0;0;7,9;7,9;1,4;0;0;0;178;4;22;8;0,2;0,06;0;0,1;;0;0;5,8;0,01;0,02;0,024;0;;0,5;7
